"date","sample_location","time1","vocs1_ppm","temp1_f","humidity1","observations1","time2","vocs2_ppm","temp2_f","humidity2","observations2","time3","vocs3_ppm","temp3_f","humidity3","observations3"
"2018-09-07T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Main area",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Plaster shop",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Compactor room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Storage room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Electric meter room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Exman room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Hallway",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Sprinkler control valve room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Gas meter room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Boiler/tank room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Slop sink room",,"0.2",,,"storage for cleaning chemicals",,,,,,,,,,
"2018-09-07T00:00:00.000","Elevator 1",,"0.3",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","Elevator 2",,"1.9",,,"just cleaned",,,,,,,,,,
"2018-09-07T00:00:00.000","Tenant Association room",,"<0.1",,,,,,,,,,,,,
"2018-09-07T00:00:00.000","2nd Floor",,"0.6",,,"high temperature, humid, poor ventillation, stagnant air",,,,,,,,,,
"2018-09-07T00:00:00.000","3rd Floor",,"0.7",,,"high temperature, humid, poor ventillation, stagnant air",,,,,,,,,,
"2018-09-07T00:00:00.000","4th Floor",,"0.8",,,"high temperature, humid, poor ventillation, stagnant air, cooking smell",,,,,,,,,,
"2018-09-07T00:00:00.000","6th Floor",,"0.8",,,"high temperature, humid, poor ventillation, stagnant air, active smoking",,,,,,,,,,
"2018-09-07T00:00:00.000","7th Floor",,"0.7",,,"high temperature, humid, poor ventillation, stagnant air, floor being mopped",,,,,,,,,,
"2018-09-08T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-08T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-09T00:00:00.000","Basement:",,,,,"rain/wind/backdoor open",,,,,"rain/wind/backdoor open",,,,,"rain/wind"
"2018-09-09T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-10T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-10T00:00:00.000","Main area",,"<0.1","62.4","78.6",,,"<0.1","71.2","87.3",,,"<0.1","69.7","60.2",
"2018-09-10T00:00:00.000","Plaster shop",,"<0.1","71.5","61.2",,,,,,"No access",,,,,"No access"
"2018-09-10T00:00:00.000","Storage room",,"<0.1","68.3","74.0",,,,,,"No access",,,,,"No access"
"2018-09-10T00:00:00.000","Electric meter room",,"<0.1","66.1","78.6",,,"<0.1","66.9","94.1",,,"<0.1","66","79.9",
"2018-09-10T00:00:00.000","Exman room",,"<0.1","71.9","61.6",,,"<0.1","71.2","79.7",,,,,,"No access"
"2018-09-10T00:00:00.000","Hallway",,"<0.1","75.0","55.0",,,"<0.1","67.4","87.3",,,"<0.1","69.7","79.4",
"2018-09-10T00:00:00.000","Sprinkler control valve room",,"<0.1","70.5","68.3",,,"<0.1","72.5","77.8",,,"<0.1","73.3","78.2",
"2018-09-10T00:00:00.000","Gas meter room",,"<0.1","70.1","74.2",,,"<0.1","72.7","78.5",,,"<0.1","73.5","77.1",
"2018-09-10T00:00:00.000","Boiler/tank room",,"<0.1","74.3","68.2",,,"<0.1","74.7","76.8",,,"<0.1","75.6","77.7",
"2018-09-10T00:00:00.000","Office",,"<0.1","75.2","62.9",,,"<0.1","75.1","72.7",,,"<0.1","75.5","74.7",
"2018-09-10T00:00:00.000","Compactor Room",,"<0.1","68.8","62.9",,,"<0.1","72.6","73",,,"<0.1","73.9","74.6",
"2018-09-10T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-10T00:00:00.000","Hallway",,"0.1","63.9","93.5",,,"<0.1","69.8","79.7",,,"<0.1","67","68.3",
"2018-09-10T00:00:00.000","Slop sink room",,,,,"No access",,"--","--","--","No access",,,,,"No access"
"2018-09-10T00:00:00.000","Elevator 1 (R)",,"0.2","72.4","76.8",,,"0.1","68.2","79.7",,,"0.1","67.5","83.2",
"2018-09-10T00:00:00.000","Elevator 2 (L)",,"0.1","65.8","88.7",,,"0.2","67.8","77.2",,,,,,"No access"
"2018-09-10T00:00:00.000","2nd Floor",,"0.3","76.0","61.2",,,"0.3","76.2","66.2",,,"0.2","77.5","56.1",
"2018-09-10T00:00:00.000","3rd Floor",,"0.3","75.5","62.9",,,"0.2","75.7","63.8",,,"0.3","76.7","53.6",
"2018-09-10T00:00:00.000","4th Floor",,"0.2","75.4","62.2",,,"0.3","75.4","63.4",,,"0.3","77.1","58.8",
"2018-09-10T00:00:00.000","5th Floor",,"0.2","75.2","63.3",,,"0.2","76.3","65.5",,,"0.3","77.1","53.6",
"2018-09-10T00:00:00.000","6th Floor",,"0.3","75.9","64.7",,,"0.3","75.7","65.1",,,"0.2","77.4","55.3",
"2018-09-10T00:00:00.000","7th Floor",,"0.3","76.0","61.3",,,"0.2","75.7","65.6",,,"0.2","77.3","54.7",
"2018-09-10T00:00:00.000","8th Floor",,"0.2","75.7","61.2",,,"0.3","75.2","65.3",,,"0.2","77.1","51.7",
"2018-09-10T00:00:00.000","9th Floor",,"0.3","76.2","62.4",,,"0.2","75.5","66.0",,,"0.4","77.2","54.4",
"2018-09-10T00:00:00.000","10th Floor",,"0.2","75.7","61.2",,,"0.2","75.3","66.4",,,"0.2","76.8","54",
"2018-09-10T00:00:00.000","11th Floor",,"0.3","76.7","61.6",,,"0.2","75.5","67.9",,,"0.3","76.8","52.6",
"2018-09-10T00:00:00.000","12th Floor",,"0.3","75.3","61.7",,,"0.2","74.9","59.6",,,"0.2","76.5","56.1",
"2018-09-10T00:00:00.000","13th Floor",,"0.2","75.2","65.1",,,"0.3","74.6","68.3",,,"0.3","76","54.6",
"2018-09-10T00:00:00.000","14th Floor",,"0.3","74.8","63.0",,,"0.2","74.1","71.5",,,"0.2","75.6","54.6",
"2018-09-10T00:00:00.000","15th Floor",,"0.2","74.6","65.4",,,"0.3","73.5","68.7",,,"0.2","75.5","57.5",
"2018-09-10T00:00:00.000","16th Floor",,"0.2","74.2","64.1",,,"0.1","73.2","71.6",,,"0.2","73.5","60.1",
"2018-09-11T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-11T00:00:00.000","Plaster shop",,,,,"No access",,,,,"No access",,,,,
"2018-09-11T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-11T00:00:00.000","Slop sink room",,"<0.1","72.8","82.7",,,"--","--","--","No access",,,,,
"2018-09-11T00:00:00.000","Elevator 2 (L)",,,,,"No access",,,,,"No access",,,,,
"2018-09-12T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-12T00:00:00.000","Plaster shop",,,,"no access",,,,"no access",,,,"no access",,,
"2018-09-12T00:00:00.000","Storage room",,,,"no access",,,,"no access",,,,"no access",,,
"2018-09-12T00:00:00.000","Exman room",,,,"no access",,,,"no access",,,,"no access",,,
"2018-09-12T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-13T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-13T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-13T00:00:00.000","Tenant Association room",,,,,"no access",,,,,"No access",,,,,"No access"
"2018-09-14T00:00:00.000","Basement:",,,,,,,,,,,,,,,
"2018-09-14T00:00:00.000","Plaster shop",,,,,"No access",,,,,"No access",,,,,"No access"
"2018-09-14T00:00:00.000","Storage room",,,,,"No access",,,,,"No access",,,,,"No access"
"2018-09-14T00:00:00.000","1st Floor:",,,,,,,,,,,,,,,
"2018-09-08T00:00:00.000","4th Floor"," 10:39:00","0.5","80.7","47.9",," 15:44:00","0.5","80.6","46.0","Joint compound near vent","22:57:00","0.5","79.8","50.5",
"2018-09-08T00:00:00.000","6th Floor"," 10:36:00","0.6","81.1","48.5","Smoking"," 15:42:00","0.6","80.7","45.3","Smoking","22:55:00","0.8","80","55.1","1.2-1.5 ppm near trash compactor"
"2018-09-09T00:00:00.000","4th Floor"," 08:50:00","0.4","77.6","50.8",," 16:30:00","0.4","78.0","55.6",,"10:48:00","0.7","77.1","58.8","Strong Trash Odor"
"2018-09-08T00:00:00.000","Office"," 10:02:00","<0.1","72","64.2",," 15:55:00","<0.1","81.3","43.9",,"23:06:00","<0.1","79.2","56.5",
"2018-09-08T00:00:00.000","Hallway"," 10:00:00","<0.1","72","64.2",," 15:50:00","0.1","70.8","56.2",,"23:07:00","0.2","80.3","54.9",
"2018-09-09T00:00:00.000","2nd Floor"," 08:52:00","0.6","78.3","51.5","Apt 2E*"," 16:35:00","0.4","78.6","58.9",,"10:50:00","0.4","77.5","56.1","Cooking Odor"
"2018-09-13T00:00:00.000","6th Floor"," 07:28:00","0.3","78","76.4",," 16:27:00","0.1","78.4","77.1",,"23:01:00","0.6","78.3","78.5","High reading by apartment 6G and 6H"
"2018-09-11T00:00:00.000","16th Floor",,"0.2","75.3","76.5",," 16:19:00","0.5","77.5","77.3","Cleaning chemical odor",,,,,
"2018-09-09T00:00:00.000","Gas meter room"," 08:21:00","<0.1","70.1","74.2",," 15:21:00","<0.1","75.1","68.0",,"10:22:00","<0.1","70.1","69.4",
